Classification,Average PnL,Total PnL,Win Rate,Avg Trade Size
Extreme Fear,1.8916322231298366,4399.936551,0.2927773000859845,4118.761840068787
Extreme Greed,205.81634505888633,1156893.675576,0.5532823341042519,3242.085086283579
Fear,128.28795029591174,1779225.582654,0.381786718581008,5744.782685125099
Greed,53.988003244420824,609632.532636,0.4357066950053135,5051.878829259653
Neutral,27.08880333091437,74656.74198,0.4949201741654572,4332.202906386067
